space_start_mile,space_end_mile,time_start_s,time_end_s,average_speed_mph,vehicle_count,is_observed
8.300000000,8.400000000,16500.000000000,16800.000000000,42.927125240,52,1
8.300000000,8.400000000,16800.000000000,17100.000000000,41.407206665,54,1
8.300000000,8.400000000,17100.000000000,17400.000000000,41.642552088,48,1
8.300000000,8.400000000,17400.000000000,17700.000000000,37.561960338,48,1
8.300000000,8.400000000,17700.000000000,18000.000000000,41.716039518,46,1
8.300000000,8.400000000,18000.000000000,18300.000000000,40.343333736,55,1
8.300000000,8.400000000,18300.000000000,18600.000000000,45.610120575,44,1
8.300000000,8.400000000,18600.000000000,18900.000000000,42.839604567,45,1
8.300000000,8.400000000,18900.000000000,19200.000000000,42.148152126,56,1
8.300000000,8.400000000,19200.000000000,19500.000000000,39.920520002,49,1
8.300000000,8.400000000,19500.000000000,19800.000000000,43.040907838,52,1
8.300000000,8.400000000,19800.000000000,20100.000000000,37.929854101,54,1
8.300000000,8.400000000,20100.000000000,20400.000000000,41.630558588,43,1
8.300000000,8.400000000,20400.000000000,20700.000000000,40.587711529,66,1
8.300000000,8.400000000,20700.000000000,21000.000000000,43.463606367,37,1
8.300000000,8.400000000,21000.000000000,21300.000000000,43.101579875,50,1
8.300000000,8.400000000,21300.000000000,21600.000000000,44.163476270,55,1
8.400000000,8.500000000,0.000000000,300.000000000,65.000000000,0,0
8.400000000,8.500000000,300.000000000,600.000000000,53.168531000,1,1
8.400000000,8.500000000,600.000000000,900.000000000,42.308738684,35,1
8.400000000,8.500000000,900.000000000,1200.000000000,42.776512600,45,1
8.400000000,8.500000000,1200.000000000,1500.000000000,38.379616358,43,1
8.400000000,8.500000000,1500.000000000,1800.000000000,38.387256202,64,1
8.400000000,8.500000000,1800.000000000,2100.000000000,41.739437483,42,1
8.400000000,8.500000000,2100.000000000,2400.000000000,43.062150552,53,1
8.400000000,8.500000000,2400.000000000,2700.000000000,45.630590360,56,1
8.400000000,8.500000000,2700.000000000,3000.000000000,43.653061233,53,1
8.400000000,8.500000000,3000.000000000,3300.000000000,43.616189549,43,1
8.400000000,8.500000000,3300.000000000,3600.000000000,42.738951624,47,1
8.400000000,8.500000000,3600.000000000,3900.000000000,44.112483104,43,1
8.400000000,8.500000000,3900.000000000,4200.000000000,41.270938043,64,1
8.400000000,8.500000000,4200.000000000,4500.000000000,41.654582937,44,1
8.400000000,8.500000000,4500.000000000,4800.000000000,41.786136566,50,1
8.400000000,8.500000000,4800.000000000,5100.000000000,40.841401454,56,1
8.400000000,8.500000000,5100.000000000,5400.000000000,40.258097586,65,1
8.400000000,8.500000000,5400.000000000,5700.000000000,45.169383960,44,1
8.400000000,8.500000000,5700.000000000,6000.000000000,45.350374359,51,1
8.400000000,8.500000000,6000.000000000,6300.000000000,42.884473519,59,1
8.400000000,8.500000000,6300.000000000,6600.000000000,43.746535401,52,1
8.400000000,8.500000000,6600.000000000,6900.000000000,42.407437053,47,1
8.400000000,8.500000000,6900.000000000,7200.000000000,45.421118716,53,1
8.400000000,8.500000000,7200.000000000,7500.000000000,40.670042175,40,1
8.400000000,8.500000000,7500.000000000,7800.000000000,42.354727119,54,1
8.400000000,8.500000000,7800.000000000,8100.000000000,41.840642269,56,1
8.400000000,8.500000000,8100.000000000,8400.000000000,40.401940265,57,1
8.400000000,8.500000000,8400.000000000,8700.000000000,40.805797945,54,1
8.400000000,8.500000000,8700.000000000,9000.000000000,40.179579354,45,1
8.400000000,8.500000000,9000.000000000,9300.000000000,43.148633701,53,1
8.400000000,8.500000000,9300.000000000,9600.000000000,42.588229721,47,1
8.400000000,8.500000000,9600.000000000,9900.000000000,39.880085670,68,1
8.400000000,8.500000000,9900.000000000,10200.000000000,43.617963620,50,1
8.400000000,8.500000000,10200.000000000,10500.000000000,44.366990531,43,1
8.400000000,8.500000000,10500.000000000,10800.000000000,41.956598008,56,1
8.400000000,8.500000000,10800.000000000,11100.000000000,44.658414632,52,1
8.400000000,8.500000000,11100.000000000,11400.000000000,41.570163963,47,1
8.400000000,8.500000000,11400.000000000,11700.000000000,39.401298541,45,1
8.400000000,8.500000000,11700.000000000,12000.000000000,42.237314239,47,1
8.400000000,8.500000000,12000.000000000,12300.000000000,39.344248522,54,1
